name,ml_disk,ml_bul,chi2,chi2_red,ndof,n_points,v_max
NGC4013,0.38163605484816404,1.5276461411932223,43.83177309588383,1.2891697969377598,34,36,198.0
NGC4051,0.4443771990255559,0.1,11.11388677366063,2.222777354732126,5,7,161.0
NGC4068,0.1,0.1,12.52019829249734,3.130049573124335,4,6,41.9
NGC4085,0.4529709709893348,0.1,27.391377216390268,5.478275443278053,5,7,136.0
NGC4088,0.32758023229430794,0.1,9.345786648218574,0.9345786648218575,10,12,182.0
NGC4100,0.7864896787981326,0.1,48.353819983236974,2.1979009083289536,22,24,195.0
NGC4138,0.9298241911717724,0.1,7.3944391837606105,1.478887836752122,5,7,195.0
NGC4157,0.4828122377830619,0.1,6.260948861837075,0.4173965907891384,15,17,201.0
NGC4183,0.5135343207107114,0.1,53.22645706250762,2.5345931934527437,21,23,115.0
NGC4214,1.3662440590409524,0.1,14.126560538128452,1.177213378177371,12,14,80.6
NGC4217,2.0157891241457437,0.16992352174783856,28.433173247793707,1.6725396028113946,17,19,191.0
NGC4389,0.1340420248434494,0.1,18.252906608808043,4.563226652202011,4,6,110.0
NGC4559,0.36315622590309726,0.1,35.34759843239486,1.1782532810798287,30,32,124.0
NGC5005,0.6849569641043002,0.44264220543213467,2.534255508909518,0.15839096930684488,16,18,265.0
NGC5033,1.0219083921231953,0.24655381536805515,264.3190324042077,13.215951620210385,20,22,225.0
NGC5055,0.4478894409937348,0.1,1668.5037774125747,64.17322220817594,26,28,206.0
NGC5371,0.41455861671944316,0.1,957.5986047697601,56.32932969233883,17,19,242.0
NGC5585,0.4012054871561595,0.1,198.66396292527273,9.030180132966942,22,24,92.3
NGC5907,0.6121027948986191,0.1,481.97993292709094,28.351760760417115,17,19,235.0
NGC5985,1.3203272468275862,3.0,263.1936143695242,8.490116592565297,31,33,305.0
NGC6015,0.8943609266290365,0.1,501.92390282931257,11.950569114983633,42,44,166.0
NGC6195,0.34085729201067017,0.7726903011635763,29.41233278202632,1.4005872753345865,21,23,258.0
NGC6503,0.6469493064149401,0.1,103.92395433217177,3.5835846321438543,29,31,121.0
NGC6674,0.6192705205262578,3.0,170.34355121037797,13.103350093105998,13,15,291.0
NGC6946,0.5681247166658875,0.5620590429939457,103.6980353990289,1.851750632125516,56,58,181.0
NGC7331,0.523500824933671,0.1,129.042762961448,3.795375381219059,34,36,257.0
NGC7793,0.6473626454666499,0.1,38.76667880324241,0.8810608818918729,44,46,116.0
NGC7814,2.5333212790851243,0.42804238279821855,37.254489103938184,2.3284055689961365,16,18,265.0
PGC51017,0.1,0.1,418.660342141843,104.66508553546075,4,6,20.5
UGC00128,0.7076085198037618,0.1,1620.405541819364,81.02027709096821,20,22,134.0
UGC00191,0.5055717899334177,0.1,121.23389312984528,17.3191275899779,7,9,83.85
UGC00731,1.8452450428630551,0.1,101.88801860933738,10.188801860933738,10,12,74.0
UGC00891,0.20609697783697323,0.1,35.126364211077195,11.708788070359065,3,5,63.75
UGC01230,0.7029104093008498,0.1,36.899896736960756,4.099988526328973,9,11,113.0
UGC01281,0.41548294483452963,0.1,22.820453468726043,0.9921936290750454,23,25,56.9
UGC02023,0.1,0.1,1.1608993075267913,0.38696643584226376,3,5,58.8
UGC02259,1.4423852179137098,0.1,42.219136577682605,7.036522762947101,6,8,90.0
UGC02455,0.1,0.1,113.22509130891316,18.870848551485526,6,8,61.0
UGC02487,1.4486159438187232,0.7717063353859042,143.0331556170538,9.535543707803587,15,17,383.0
UGC02885,0.724619362573881,1.0600772347460363,12.616551027011647,0.7421500604124498,17,19,305.0
UGC02916,1.4639223055186004,0.5345578364502628,483.08212541280477,11.782490863726945,41,43,218.0
UGC02953,0.9664831851915241,0.5220233519752498,2635.804673734515,23.32570507729659,113,115,319.0
UGC03205,0.7507732871637516,1.3128620554954564,183.9848244113893,3.9996700958997673,46,48,237.0
UGC03546,0.8110531062271179,0.36244197710102916,40.04561051016264,1.4302003753629513,28,30,262.0
UGC03580,0.5510057881448387,0.1,122.80058662713037,2.7289019250473414,45,47,131.0
